,sku,sls_qty,sls_price,hillcrest_qty,name
289,2-43291,1,20.0,0.0,FR HUNTER 5
2348,1-16583,1,169.0,0.0,AERO BOA COILER
3960,2-202870,2,140.0,0.0,METHOD / GREY WMARK
4219,2-104769,2,204.0,1.0,CO
4369,2-104786,1,26.0,0.0,VA ALL THE WAY
4717,1-103769,1,259.95,0.0,LEWISTON
5116,1-100684,1,329.95,0.0,FUSE
5118,1-100682,1,329.95,0.0,FUSE
5120,1-100686,1,329.95,0.0,FUSE
5258,2-34030,5,109.0,1.0,MARSHALL / MATTE BLACK
5491,1-14023,1,25.0,0.0,DEMO
5934,2-104085,10,12.95,9.0,SNOW FORT YOUTH
5954,1-102731,1,379.95,0.0,SLUSH SLASHER
5955,1-102732,1,379.95,0.0,SLUSH SLASHER
6141,2-202599,2,190.0,0.0,NFX2 / FORSTSIG
6162,1-104205,1,30.0,0.0,PARADISE S/S
6739,2-04524,1,69.0,0.0,MINI TURBO
7518,2-202871,1,140.0,0.0,METHOD / WHITEOUT
7579,1-103471,2,749.95,1.0,XV SPLIT
7714,1-24087,2,17.0,0.0,FYNN
7715,1-24088,5,22.0,4.0,FYNN
8333,2-22380,1,100.0,0.0,EXIT ROW / MATTE TORTOISE
9653,2-34051,4,109.0,3.0,MARSHALL AF / 25TH BLACK GOLD
9995,1-23428,1,32.0,0.0,STN PLATE L/S
9997,1-23430,1,32.0,0.0,STN PLATE L/S
10022,1-202359,3,309.95,0.0,FUSE-GT HYBRID
10673,2-202596,2,190.0,1.0,NFX2 / BPAULSIG
10928,1-100662,1,399.95,0.0,INSANO
10930,1-100666,1,399.95,0.0,INSANO
10931,1-100663,1,399.95,0.0,INSANO
10933,1-100667,1,399.95,0.0,INSANO
10940,1-100687,1,279.95,0.0,ANCHOR
12262,1-103500,1,25.0,0.0,SPLIT TRUTH S/S
12281,1-103504,1,28.0,0.0,BENJ SNAKES S/S
13102,1-100671,1,359.95,0.0,LASSO PRO
13103,1-100673,1,359.95,0.0,LASSO PRO
13104,1-100670,1,359.95,0.0,LASSO PRO
13105,1-100674,1,359.95,0.0,LASSO PRO
13106,1-100672,1,359.95,0.0,LASSO PRO
13107,1-100668,1,359.95,0.0,LASSO PRO
13108,1-100676,1,359.95,0.0,LASSO PRO
13109,1-100675,1,359.95,0.0,LASSO PRO
13111,1-100679,1,359.95,0.0,LASSO PRO WIDE
13112,1-100678,1,359.95,0.0,LASSO PRO WIDE
13713,1-104065,10,16.0,9.0,SIROCCO
13908,1-200899,1,23.95,0.0,WHEEL SPEC S/S T-SHIRT
14047,2-102308,2,59.99,0.0,TRBN T3602
14298,1-23444,1,38.0,0.0,"WAVELLO 2"""
14299,1-23445,1,38.0,0.0,"WAVELLO 2"""
14512,1-202869,1,140.0,0.0,METHOD / BLACK WMARK
15385,1-202237,1,199.95,0.0,STW BOA W'S
15961,1-12343,1,60.0,0.0,SB WASHED ICON HOODIE
16266,2-101168,1,99.95,0.0,FAZE II LS
16544,1-202277,1,219.95,0.0,FENIX
16704,1-103846,1,59.95,0.0,EXPLORER HOODIE
17288,1-202018,1,279.95,0.0,LIMELIGHT BOAÂ®
17289,1-202019,1,279.95,0.0,LIMELIGHT BOAÂ®
17290,1-202017,1,279.95,0.0,LIMELIGHT BOAÂ®
17486,2-21172,1,139.0,0.0,AXIS / GREY WORDMARK
17501,1-104072,10,19.0,9.0,DENDRITE LTWT
17504,1-104070,18,19.0,13.0,DENDRITE LTWT
17523,1-103778,1,280.0,0.0,L GORE-TEX JACKET
17787,2-50875,1,69.0,0.0,SIREN
17856,1-101762,1,59.95,0.0,INFERNO HOODY
18107,2-34024,1,154.0,0.0,BRAVO / MATTE WHITE
18227,2-105244,1,529.95,0.0,SCOTT STEVENS PRO
18296,2-201644,1,250.0,0.0,I/O MAG S / FRENCH NAVY
18503,2-104720,1,59.5,0.0,SITUATIONS
18845,1-104269,4,279.95,2.0,DS MX 90
18847,1-104272,2,279.95,1.0,DS MX 90
18848,1-104271,2,279.95,1.0,DS MX 90
18849,1-104267,2,279.95,0.0,DS MX 90
18888,1-104464,2,25.0,1.0,STONE WONDER DAD HAT
18972,2-26022,2,15.0,1.0,FR J BOUNCE 1
19213,1-100524,1,25.0,0.0,O-BOLD ELLIPSE
19323,2-202460,2,180.0,0.0,FLIGHT TRACKER XL / TOR. BOTFD
19331,1-101767,1,59.95,0.0,PHANTASM HOODY
19547,1-104803,1,35.0,0.0,BIG RVCA J
20312,1-104742,1,32.5,0.0,THERMALITY LS
20501,2-30668,5,70.0,4.0,DX3 OTG / WHITE
20958,2-104681,1,150.0,0.0,LINE MINER
20982,1-103448,1,25.99,0.0,MEDIUM SKI
